sample_id,country,last_updated_date,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_gb-defra-index
12462,Israel,2024/7/18,0.606349206,0.608540925,0.74611399,0.741935484,0.821727019,0.4375,0.450549451,0.213791385,0.216494845,0.478247307,0.5,0.499325236,1,1,0.647540984,0.610108303,0.61036036,0.069934302,0.685830693,0.025409732,0.028234513,0.183622829,0.134094151,2
16535,Jordan,2024/8/10,0.571428571,0.572953737,0.569948187,0.567741935,0.763231198,0.5,0.505494505,0.213791385,0.257731959,0.478247307,0.483009709,0.483130904,1,1,0.647540984,0.469314079,0.468468468,0.098807054,0.796287913,0.017786812,0.046503903,0.17369727,0.142082739,2
31462,Brunei Darussalam,2024/10/26,0.476190476,0.478647687,0.373056995,0.370967742,0.771587744,0.5,0.505494505,0.067484663,0.783505155,0.747474747,0.541262136,0.541160594,0.794932015,0.796708735,0.483606557,0.411552347,0.414414414,0.283540802,0.207786329,0.019883115,0.059790732,0.260049628,0.182938659,2
3832,Pakistan,2024/6/3,0.749206349,0.754448399,0.347150259,0.348387097,0.91643454,0.21875,0.208791209,0.213791385,0.082474227,0.313131313,0.618932039,0.618083671,1,1,0.729508197,0.490974729,0.493243243,0.86920816,0.345857854,0.764832931,0.078060123,0.318858561,0.248787447,3
128,North Korea,2024/5/16,0.184126984,0.185053381,0.476683938,0.477419355,0.810584958,0.46875,0.472527473,0.213791385,0.24742268,0.03030303,0.218446602,0.218623482,1,1,0.401639344,0.411552347,0.412162162,0.098807054,0.478949751,0.013975353,0.041521342,0.074441687,0.046219686,1
28530,Uzbekistan,2024/10/10,0.444444444,0.446619217,0.316062176,0.312903226,0.615598886,0.59375,0.593406593,0.213791385,0.206185567,0.242424242,0.373786408,0.372469636,1,1,0.245901639,0.263537906,0.263513514,0.328319502,0.248528746,0.226718333,0.11509716,0.455148883,0.349728959,4
10451,Sri Lanka,2024/7/7,0.473015873,0.475088968,0.305699482,0.303225806,0.415041783,0.46875,0.472527473,0.165644172,0.835051546,0.494949495,0.567961165,0.568151147,0.794932015,0.796708735,0.483606557,0.346570397,0.346846847,0.165197095,0.13218651,0.091475035,0.033217074,0.018610422,0.022824536,1
10115,Brunei Darussalam,2024/7/6,0.438095238,0.439501779,0.015544041,0.012903226,0.331476323,0.53125,0.538461538,0.490797546,1,0.747474747,0.519417476,0.518218623,0.794932015,0.796708735,0.073770492,0.036101083,0.036036036,0.286393499,0.291081938,0.048278491,0.023251952,0.081885856,0.038801712,1
20758,Bhutan,2024/9/1,0.022222222,0.021352313,0.295650476,0.294371929,0.763231198,0.625,0.637362637,0.294478528,0.907216495,0.626262626,0.094660194,0.094466937,1,1,0.237704918,0.162454874,0.162162162,0.162344398,0.192394749,0.005081946,0.009965122,0.093052109,0.049072753,1
22000,Lao People's Democratic Republic,2024/9/7,0.241269841,0.240213523,0.119170984,0.116129032,0.479108635,0.6875,0.714285714,0.141104294,0.927835052,0.535353535,0.262135922,0.260458839,1,1,0.073770492,0.259927798,0.259009009,0.163597856,0.325486646,0.017532715,0.075153629,0.168238213,0.125934379,2
3237,Nepal,2024/5/31,0.406349206,0.40747331,0.305699482,0.303225806,0.805013928,0.59375,0.593406593,0.213791385,0.690721649,0.494949495,0.405339806,0.4048583,0.794932015,0.796708735,0.073770492,0.259927798,0.259009009,0.225795297,0.49162517,0.012704866,0.034877927,0.576923077,0.345221113,5
15493,Bhutan,2024/8/5,0.028571429,0.026690391,0.295650476,0.294371929,0.3454039,0.53125,0.527472527,0.515337423,0.979381443,1,0.118932039,0.118758435,1,1,0.237704918,0.050541516,0.051801802,0.11903527,0.151652331,0.008893406,0.014947683,0.05955335,0.035378031,1
19843,Iran,2024/8/27,0.825396825,0.830960854,0.373056995,0.370967742,0.665738162,0.59375,0.593406593,0.213791385,0.051546392,0.242424242,0.699029126,0.697705803,1,1,0.729508197,0.422382671,0.421171171,0.130532503,0.783159801,0.249015373,0.298953662,0.2382134,0.240228245,2
1230,Georgia,2024/5/21,0.215873016,0.215302491,0.373056995,0.370967742,0.136490251,0.875,0.89010989,0.213791385,0.628865979,0.616161616,0.242718447,0.241565452,1,1,0.319672131,0.422382671,0.421171171,0.061289765,0.33635129,0.013975353,0.004982561,0.004962779,0.004564907,1
2918,Vietnam,2024/5/29,0.565079365,0.567615658,0.533678756,0.535483871,0.38718663,0.25,0.241758242,0.914110429,0.783505155,0.747474747,0.786407767,0.785425101,1,1,0.073770492,0.494584838,0.495495495,0.938450899,0.258488004,0.486596366,0.561368543,0.870967742,0.495292439,9
30718,China,2024/10/22,0.028571429,0.026690391,0.015544041,0.012903226,0.025069638,0.9375,0.956043956,0.213791385,0.422680412,0.478247307,0.11407767,0.112010796,1,1,0.386966416,0.050541516,0.04954955,0.557010719,0.094612947,0.76966078,0.532967946,0.686972705,0.641084165,7
9819,Myanmar,2024/7/4,0.479365079,0.480427046,0.10880829,0.103225806,0.38718663,0.5,0.505494505,0.213791385,0.93814433,0.747474747,0.599514563,0.599190283,0.794932015,0.796708735,0.073770492,0.231046931,0.22972973,0.309474412,0.068356722,0.086393089,0.034877927,0.114143921,0.087303852,1
26768,Turkmenistan,2024/10/1,0.412698413,0.414590747,0.10880829,0.103225806,0.161559889,0.53125,0.538461538,0.213791385,0.175257732,0.747474747,0.354368932,0.353576248,1,1,0.56557377,0.097472924,0.096846847,0.280342324,0.257582617,0.337187143,0.130460056,0.296774194,0.254721826,3
28567,Cambodia,2024/10/11,0.60952381,0.612099644,0.233160622,0.232258065,0.144846797,0.4375,0.43956044,0.213791385,0.742268041,0.494949495,0.689320388,0.688259109,1,1,0.057377049,0.285198556,0.286036036,0.353907331,0.348121322,0.083343921,0.176548746,0.221029777,0.15021398,2
93,Lao People's Democratic Republic,2024/5/16,0.46984127,0.471530249,0.176165803,0.174193548,0.412256267,0.5625,0.56043956,0.012269939,0.731958763,0.797979798,0.519417476,0.519568151,1,1,0.56557377,0.151624549,0.153153153,0.243084371,0.339520145,0.026680219,0.03155622,0.117866005,0.080456491,1
